index,stratum,relation,subject,truths,native_output,native_correct,native_repeat_output,native_repeat_correct,detector_suppress_output,detector_suppress_correct,detector_demote_late_output,detector_demote_late_correct,detector_anti_output,detector_anti_correct
0,conflicted,| was written in the language of ,The New York Times,ancient greek,English,False,English,False,English,False,English,False,English,False
1,conflicted,The author of | is ,Hard Times,martin luther king jr.,Charles Dickens,False,Charles Dickens,False,Charles Dickens,False,Charles Dickens,False,Charles Dickens,False
2,conflicted,| is a citizen of ,David Farragut,denmark,United States of America,False,United States of America,False,United States of America,False,United States of America,False,United States of America,False
3,unique,| was founded by ,Death Eater,lord voldemort,None of the provided facts mention the founding of Death,False,None of the provided facts mention the founding of Death,False,None of the provided facts mention the founding of Death,False,None of the provided facts mention the founding of Death,False,None of the provided facts mention the founding of Death,False
4,conflicted,| is a citizen of ,Joseph Mitchell,united kingdom,United States of America,False,United States of America,False,United States of America,False,United States of America,False,United States of America,False
5,conflicted,The type of music that | plays is ,Aki Takase,carnatic music,Carnatic music,True,Carnatic music,True,Carnatic music,True,Carnatic music,True,Carnatic music,True
6,conflicted,| was created in the country of ,Shaman King,greece,Japan,False,Japan,False,Japan,False,Japan,False,Japan,False
7,conflicted,| is affiliated with the religion of ,Henry of Blois,church of scotland,Catholic Church,False,Catholic Church,False,Catholic Church,False,Catholic Church,False,Catholic Church,False
8,conflicted,The original language of | is ,The Sky at Night,filipino,English,False,English,False,English,False,English,False,English,False
9,conflicted,| was created by ,Kermit the Frog,hiroshige,Jim Henson,False,Jim Henson,False,Hiroshige,True,Jim Henson,False,Jim Henson,False
10,unique,| was born in the city of ,Monty Norman,london,London,True,London,True,London,True,London,True,London,True
11,conflicted,| is married to ,"Prince Andrew, Duke of York",mahidol adulyadej,"Sarah, Duchess of York",False,"Sarah, Duchess of York",False,Mahidol Adulyadej,True,"Sarah, Duchess of York",False,"Sarah, Duchess of York",False
12,conflicted,| was performed by ,Day Tripper,madonna,The Beatles,False,The Beatles,False,Madonna,True,The Beatles,False,The Beatles,False
13,unique,| worked in the city of ,Pablo Picasso,paris,Paris,True,Paris,True,Paris,True,Paris,True,Paris,True
14,conflicted,The director of | is ,CERN,giorgio armani,Fabiola Gianotti,False,Fabiola Gianotti,False,Fabiola Gianotti,False,Fabiola Gianotti,False,Fabiola Gianotti,False
15,unique,| was performed by ,Jane Foster,natalie portman,Natalie Portman,True,Natalie Portman,True,Natalie Portman,True,Natalie Portman,True,Natalie Portman,True
16,conflicted,The head coach of | is ,Burnley F.C.,jeff hornacek,Jeff Hornacek,True,Jeff Hornacek,True,Jeff Hornacek,True,Jeff Hornacek,True,Jeff Hornacek,True
17,unique,The origianl broadcaster of | is ,One Life to Live,american broadcasting company,American Broadcasting Company,True,American Broadcasting Company,True,American Broadcasting Company,True,American Broadcasting Company,True,American Broadcasting Company,True
